X Gaze Data, Y Gaze Data, Time 
635,43,18822666
635,45,18822677
634,47,18822688
633,49,18822702
633,49,18822710
634,50,18822721
634,50,18822748
635,50,18822754
635,49,18822766
635,48,18822778
635,44,18822788
635,42,18822799
635,42,18822824
635,41,18822833
634,41,18822844
634,40,18822855
634,40,18822866
635,40,18822877
636,38,18822903
636,39,18822910
635,39,18822921
635,39,18822933
635,37,18822943
636,36,18822954
637,37,18822966
637,41,18822980
637,41,18822987
637,40,18822999
638,40,18823011
635,51,18823021
634,57,18823032
634,71,18823059
662,785,18823066
663,796,18823077
664,805,18823090
665,812,18823099
667,840,18823110
668,854,18823121
673,865,18823137
676,867,18823143
676,869,18823154
676,866,18823168
676,866,18823176
676,868,18823187
676,869,18823199
676,869,18823210
677,869,18823221
678,869,18823232
678,870,18823246
679,870,18823254
682,871,18823265
681,870,18823292
685,873,18823299
686,874,18823310
687,875,18823323
687,874,18823332
687,875,18823343
685,875,18823369
679,872,18823376
678,871,18823387
678,871,18823401
679,870,18823410
682,870,18823421
681,870,18823432
678,871,18823443
661,875,18823454
650,876,18823481
630,875,18823487
624,877,18823498
620,877,18823525
611,873,18823532
609,871,18823543
604,868,18823556
604,867,18823565
603,866,18823576
600,862,18823602
597,853,18823609
597,853,18823620
591,831,18823634
556,693,18823643
492,377,18823653
470,255,18823681
449,145,18823687
442,98,18823712
431,48,18823720
431,44,18823732
431,44,18823744
433,51,18823754
437,64,18823765
438,64,18823776
438,69,18823791
439,71,18823798
440,72,18823810
442,76,18823823
445,82,18823832
445,85,18823843
446,87,18823854
448,90,18823870
447,91,18823876
449,102,18823902
452,102,18823909
452,104,18823920
454,106,18823932
454,109,18823943
456,113,18823953
453,110,18823965
457,113,18823979
468,131,18823987
563,305,18823998
566,312,18824010
568,315,18824020
571,322,18824032
574,327,18824058
580,339,18824065
577,334,18824076
576,329,18824088
576,331,18824098
575,331,18824109
574,329,18824120
573,325,18824135
571,321,18824143
571,322,18824153
575,335,18824166
600,415,18824176
602,424,18824186
606,436,18824212
604,445,18824220
605,452,18824231
606,453,18824243
604,454,18824253
605,453,18824265
605,453,18824276
604,450,18824290
604,450,18824298
604,450,18824309
608,453,18824321
608,452,18824331
607,453,18824343
608,453,18824353
606,454,18824367
607,454,18824376
610,447,18824387
617,411,18824398
616,391,18824409
615,389,18824420
615,387,18824446
619,382,18824453
625,381,18824465
629,382,18824476
629,379,18824491
630,378,18824498
630,378,18824509
630,379,18824522
627,382,18824531
627,382,18824542
627,381,18824568
624,378,18824576
620,372,18824586
614,356,18824599
610,346,18824609
608,342,18824620
606,335,18824647
600,322,18824653
587,297,18824664
586,296,18824678
586,295,18824686
585,294,18824698
583,290,18824709
581,289,18824720
579,286,18824731
578,286,18824742
578,285,18824756
577,285,18824765
578,285,18824776
578,284,18824787
579,284,18824798
579,285,18824809
582,284,18824835
583,282,18824842
583,281,18824853
583,282,18824865
583,281,18824875
583,281,18824886
583,280,18824911
582,277,18824920
583,275,18824931
604,271,18824958
626,267,18824964
643,265,18824975
644,265,18824989
642,266,18824998
643,266,18825009
641,267,18825021
640,263,18825031
639,264,18825042
638,264,18825068
636,263,18825075
635,263,18825086
635,263,18825099
636,263,18825109
637,262,18825119
638,261,18825146
637,255,18825152
637,255,18825164
637,255,18825176
639,254,18825186
641,253,18825197
648,253,18825223
651,254,18825231
653,254,18825242
655,254,18825253
656,252,18825264
656,251,18825275
652,251,18825301
645,252,18825309
645,252,18825319
644,250,18825332
644,249,18825342
647,248,18825352
658,245,18825364
661,245,18825378
683,244,18825386
685,244,18825398
688,244,18825408
689,244,18825424
693,244,18825431
693,244,18825442
693,243,18825456
692,237,18825464
693,236,18825475
694,233,18825487
695,232,18825497
697,232,18825509
697,233,18825534
695,233,18825542
695,233,18825552
695,232,18825565
694,230,18825575
693,229,18825586
693,229,18825597
692,228,18825611
700,229,18825619
725,226,18825630
730,224,18825657
736,221,18825664
732,222,18825675
734,222,18825688
744,221,18825697
744,221,18825708
744,221,18825734
744,212,18825741
744,211,18825752
740,207,18825764
739,210,18825775
737,209,18825785
736,209,18825797
736,208,18825811
741,204,18825819
742,203,18825831
741,204,18825842
740,209,18825857
739,209,18825864
742,209,18825875
757,208,18825889
759,208,18825897
755,209,18825908
760,209,18825920
779,203,18825930
792,201,18825942
797,198,18825952
799,197,18825966
801,196,18825975
799,198,18825985
799,198,18825998
796,199,18826008
795,199,18826019
795,200,18826030
794,198,18826045
794,198,18826052
793,198,18826064
793,198,18826077
795,199,18826086
795,200,18826097
795,200,18826123
796,205,18826130
797,209,18826141
821,212,18826155
823,212,18826164
831,214,18826175
833,214,18826186
835,214,18826197
